question,answer,type
What is the main symbol of EXPO Nur-Sultan?,"The main symbol of EXPO Nur-Sultan is Nur-Alem, a giant spherical building with a diameter of 80 meters.",1
What are located on top of the spherical building?,Two wind generators are located on top of the spherical building.,1
How many levels does the structure consist of?,The structure consists of eight levels.,1
What does each level of the structure tell about?,"Each level tells about one of the alternative energy sources, such as 'space Energy', 'Solar Energy', 'wind Energy', 'biomass Energy', 'Kinetic energy', and 'water Energy'.",1
What is located on the eighth level?,The Museum 'Future Nur-Sultan' is located on the eighth level.,1
What is the area of the base of the sphere?,The base of the sphere has an area of 5000 square meters.,1
How much area does the national pavilion occupy?,The national pavilion occupies a total of 500 meters.,1
What are the two zones of the national pavilion?,The two zones are 'acquaintance with Kazakhstan' and 'Creative energy'.,1
What kind of projects are presented in the Museum of future energy?,The Museum of future energy presents projects of scientists of Kazakhstan and startup projects of young specialists in the field of 'green' energy sources.,1
What has been done to preserve the EXPO heritage?,A lot of work has been done to preserve the EXPO heritage and promote the ideas of 'future Energy'.,1
What facilities are included in the infrastructure of the attraction?,"The infrastructure includes a transport and logistics center, a communications Center, the office of the managing company JSC 'NC' EXPO Congress', and the building of the operational Department of internal Affairs.",1
What is the price for tickets to the EXPO?,The price for tickets to the EXPO is 1500 tenge.,1
What engineering communications are located on the entire territory of the exhibition?,"All the necessary engineering communications such as water supply, power supply, Sewerage, WI-FI, etc. are located on the entire territory of the exhibition.",1
What can visitors do on the territory of the EXPO?,Visitors can enjoy an interesting tour of the EXPO heritage sites.,1
What is the main focus of the exhibition?,The main focus of the exhibition is on future energy and alternative energy sources.,1
What makes the spherical building unique?,The spherical building is unique for its innovative design and focus on sustainable energy.,1
What type of power generators are installed on top of the spherical building?,Two wind generators are installed on top of the spherical building.,1
What is the size of the national pavilion?,The national pavilion occupies a total of 500 meters.,1
What kind of projects are presented in the national pavilion?,The national pavilion presents projects related to the 'acquaintance with Kazakhstan' and 'Creative energy'.,1
How is the Museum of future energy related to the overall theme of the exhibition?,"The Museum of future energy presents projects related to future energy and alternative energy sources, which are the main focus of the exhibition.",1
What is the purpose of the transport and logistics center?,The purpose of the transport and logistics center is to facilitate the movement of goods and people within the exhibition area.,1
What role does the communications Center play?,"The communications Center serves as a hub for data processing, media broadcasting, and administrative functions.",1
What is the significance of the EXPO exhibition?,The EXPO exhibition is significant for promoting ideas of sustainable energy and preserving the EXPO heritage.,1
What activities are regularly organized on the territory of the EXPO?,Regular excursions are organized on the territory of the EXPO.,1
How has the ticket pricing changed after the exhibition period?,"After the exhibition period, ticket prices have significantly decreased.",1
What can visitors expect from an excursion to the EXPO heritage sites?,"Visitors can expect to learn about sustainable energy, explore innovative exhibits, and enjoy the unique atmosphere of the EXPO.",1
What role does the Museum of future energy play in promoting green technologies?,"The Museum of future energy showcases projects and initiatives related to green technologies, promoting awareness and innovation in sustainable energy.",1
What are some of the features of the spherical building?,"Some features of the spherical building include its unique design, wind generators on top, and its focus on showcasing alternative energy sources.",1
What type of exhibitions are held in the national pavilion?,"The national pavilion hosts exhibitions related to Kazakhstan's culture, heritage, and innovative projects.",1
How does the EXPO exhibition contribute to the local economy?,"The EXPO exhibition attracts tourists, fosters innovation, and promotes economic development through infrastructure projects and tourism.",1
What is the significance of the EXPO exhibition for Kazakhstan?,"The EXPO exhibition serves as a platform to showcase Kazakhstan's achievements, promote sustainable development, and strengthen international cooperation.",1
What is the main theme of the national pavilion?,"The main theme of the national pavilion is to introduce visitors to Kazakhstan's culture and creativity, as well as its contributions to sustainable energy.",1
How does the spherical building contribute to reducing energy consumption?,"The spherical building incorporates wind generators on top, which generate power and reduce energy consumption from the grid.",1
What type of exhibitions are held in the Museum of future energy?,The Museum of future energy hosts exhibitions showcasing innovative projects and initiatives related to sustainable energy.,1
What is the overall size of the exhibition area?,"The exhibition area covers a significant area, including the spherical building, national pavilion, and other facilities.",1
How does the EXPO exhibition promote international cooperation?,"The EXPO exhibition serves as a platform for countries to exchange ideas, showcase innovations, and collaborate on global challenges such as sustainable development.",1
What makes the Museum of future energy unique?,The Museum of future energy is unique for its focus on showcasing cutting-edge projects and initiatives in the field of sustainable energy.,1
What is the title of the attraction?,Theater of animatronics 'Jungle'.,2
Where is the attraction located?,"г. Астана, Коргалжинское шоссе, 2.",2
What is the phone number of the attraction?,+7 (7172) 79-04-39.,2
What is the link to the attraction's webpage?,https://astana.citypass.kz/en/2017/09/15/teatr-animatroniksov-dzhungli/,2
Who came up with the idea of creating the dinosaur Park?,"The idea of creating a one-of-a-kind dinosaur Park belonged to the first President of the Republic of Kazakhstan, N. A. Nazarbayev.",2
When was the dinopark opened?,"The dinopark was opened on July 6, 2008, the day of the capital (Astana).",2
Who developed the animatronics robots for the dinopark?,"Animatronics robots for dinopark were developed and created in Kazakhstan by the domestic company 'Kazakhstan Salyut', with Vadim Gostev as the chief designer.",2
What is the size of the dinopark?,The dinopark occupies more than 3000 m2 of area.,2
What can visitors expect to see in the dinopark?,"Visitors can expect to see a combination of theatrical performances, robot dinosaurs, water slides, and an exciting journey through the jungle.",2
What atmosphere does the dinopark recreate?,The dinopark recreates the atmosphere of the impenetrable jungle and the lost world of prehistoric animals.,2
What is the theme of the animatronics theater?,"The theme of the animatronics theater is the jungle, with robotic dinosaurs and other prehistoric creatures.",2
What are some of the attractions in the dinopark?,"Some attractions include encounters with robotic dinosaurs, giant spiders, crocodiles, frogs, and mythical creatures, as well as a journey through caves and over bridges.",2
What awaits visitors at the entrance to the animatronics theater?,Visitors are greeted by a huge stone face of an ancient deity that comes to life and leads them into the jungle.,2
What is inside the cave in the dinopark?,"Inside the cave, visitors encounter giant spiders, crocodiles, and mythical creatures.",2
What is the height of the Tyrannosaur figure?,The Tyrannosaur figure is more than 3.5 meters tall.,2
What can visitors observe after climbing the bridge?,"After climbing the bridge, visitors can observe the life of Pterodactyls and Diplodocus from a height.",2
What is special about the cave of stalactites and stalagmites?,"The cave features stalactites, stalagmites, precious stones, and thousands of bats hiding under the vaults.",2
What unfolds on the stage of the ancient amphitheater?,Theatrical performances unfold on the stage of the ancient amphitheater in the mysterious city of ancient civilizations.,2
What age group does the animatronics theater appeal to?,The animatronics theater appeals to both children and adults.,2
What company developed the animatronics robots?,The domestic company 'Kazakhstan Salyut' developed the animatronics robots.,2
What is the most memorable feature of the dinopark?,The most memorable feature is the lifelike animatronics robots and the immersive jungle atmosphere.,2
What makes the dinopark unique?,"The dinopark is unique for its combination of theatrical performances, robot dinosaurs, and water slides, all created domestically in Kazakhstan.",2
How is the dinopark connected to the theme of the jungle?,"The dinopark recreates the atmosphere of the jungle with its flora, fauna, and prehistoric creatures.",2
What role does theatrical performances play in the dinopark?,"Theatrical performances add to the immersive experience of the dinopark, enhancing the atmosphere and storytelling.",2
What can visitors learn from their journey through the dinopark?,"Visitors can learn about prehistoric creatures, jungle habitats, and the mysteries of the lost world.",2
How does the dinopark engage its visitors?,"The dinopark engages visitors through interactive experiences, guided tours, and storytelling.",2
What is the architectural style of the dinopark building?,The dinopark building is designed in a style that resembles a jungle temple or ancient ruins.,2
What is the significance of the day when the dinopark opened?,"The dinopark opened on July 6, 2008, the day of the capital (Astana), making it a significant event for the city.",2
What makes the dinopark an unforgettable experience?,"The combination of lifelike animatronics, immersive jungle atmosphere, and thrilling attractions makes the dinopark an unforgettable experience.",2
How does the dinopark contribute to tourism in Astana?,The dinopark attracts tourists with its unique offerings and adds to the diversity of attractions in Astana.,2
What are some of the features of the animatronics robots?,"The animatronics robots are lifelike, with realistic movements and appearances, adding to the immersive experience of the dinopark.",2
What is the main theme of the dinopark?,The main theme of the dinopark is the exploration of the jungle and encounters with prehistoric creatures.,2
What role do guides and animators play in the dinopark?,"Guides and animators provide informative tours and storytelling, enhancing the visitor experience.",2
What is the size of the building housing the dinopark?,The building housing the dinopark occupies more than 3000 m2 of area.,2
What is the overall atmosphere of the dinopark?,"The overall atmosphere of the dinopark is mysterious, adventurous, and immersive, transporting visitors to a lost world.",2
How do visitors enter the animatronics theater?,Visitors enter the animatronics theater through a gap in a huge stone face of an ancient deity.,2
What is the most impressive feature of the animatronics theater?,The most impressive feature is the lifelike animatronics robots that interact with visitors and create a sense of wonder.,2
What emotions does the dinopark evoke in visitors?,"The dinopark evokes a sense of excitement, wonder, and adventure in visitors of all ages.",2
What is the significance of the animatronics robots being developed domestically?,The fact that the animatronics robots were developed domestically adds to the uniqueness and pride associated with the dinopark.,2
What is the title of the landmark?,The Palace of Peace and Reconciliation.,3
Where is the landmark located?,"Астана, проспект Тауелсiздiк 57.",3
What is the phone number of the landmark?,+7 (7172) 79-04-39.,3
What is the link to the landmark's webpage?,https://astana.citypass.kz/en/2018/02/15/dvorets-mira-i-soglasiya/,3
Who proposed the idea of building the Palace of Peace and Reconciliation?,The idea of rising the Palace of Peace and Reconciliation belongs to the President of the Republic Nursultan Nazarbayev.,3
Who is the architect of the Palace of Peace and Reconciliation?,The architect of the Palace of Peace and Reconciliation is British architect Norman Foster.,3
What is depicted on the panel at the top of the pyramid?,"The panel at the top of the pyramid depicts 130 pigeons, symbolizing the people of Kazakhstan.",3
When was the Palace of Peace and Reconciliation opened?,The Palace of Peace and Reconciliation was opened in 2006.,3
Who performed at the grand opening of the Palace of Peace and Reconciliation?,The world opera star Monserrat Caballe performed at the grand opening.,3
How many spectators can the concert hall of the palace hold?,The concert hall of the palace can hold up to 1500 spectators.,3
What facilities are available in the Palace of Peace and Reconciliation?,"The palace features conference halls, premises for events, exhibition halls, a center for contemporary art, and the 'Cheops Atrium.'",3
What events are organized in the exhibition halls?,Temporary exhibitions and creative meetings are organized in the exhibition halls.,3
What is located at the top of the pyramid?,"At the top of the pyramid is the 'Cradle' hall, which hosts congresses of world and traditional-national religions.",3
How can visitors reach the top of the pyramid?,Visitors can use panoramic elevators or climb stairs through hanging gardens to reach the top of the pyramid.,3
What is special about the design of the pyramid?,"The pyramid is built on the principles of the 'Golden Section,' with a height equal to the length of the square at the bottom.",3
What makes the landmark a symbol of unity?,The Palace of Peace and Reconciliation became a symbol of unity for the residents of Astana and Kazakhstan.,3
How does the landmark contribute to cultural exchange?,"The landmark hosts events that bring together artists from Kazakhstan and other countries, fostering cultural exchange.",3
What is unique about the interior of the pyramid?,"The interior features interesting design solutions, including hanging gardens and panoramic views.",3
What is the significance of the stained glass at night?,"At night, the illuminated stained glass top of the pyramid makes the building visible from various points in the capital.",3
What message does the pyramid convey?,"The pyramid conveys a message of peace, reconciliation, and cultural harmony.",3
How does the landmark contribute to tourism?,The Palace of Peace and Reconciliation attracts tourists with its unique architecture and cultural significance.,3
What role does the landmark play in hosting international events?,"The landmark hosts international congresses and events, promoting dialogue and cooperation among nations.",3
What is the significance of the 'Cheops Atrium'?,"The 'Cheops Atrium' is the most grandiose premise of the palace, with an area of over 2000 sq.m.",3
What does the pyramid symbolize?,"The pyramid symbolizes peace, reconciliation, and unity among nations.",3
How does the landmark honor the people of Kazakhstan?,"The panel at the top of the pyramid depicts pigeons, symbolizing the people of Kazakhstan.",3
What makes the landmark stand out among other buildings in Astana?,The landmark's unique pyramid shape and cultural significance make it stand out among other buildings in Astana.,3
What events are held in the conference halls?,"The conference halls host various events, including congresses, presentations, and meetings.",3
What is the cultural significance of the landmark?,"The landmark promotes cultural exchange, dialogue, and understanding among diverse communities.",3
How does the landmark contribute to the city's identity?,"The landmark is a symbol of the city's aspirations for peace, harmony, and cultural prosperity.",3
What features make the landmark a tourist attraction?,"The unique architecture, panoramic views, and cultural events make the landmark a popular tourist attraction.",3
What is the historical significance of the landmark?,The landmark represents a modern architectural marvel and a symbol of Kazakhstan's commitment to peace and reconciliation.,3
What is the cultural legacy of the landmark?,The landmark contributes to Kazakhstan's cultural legacy by fostering cultural exchange and promoting dialogue among nations.,3
How does the landmark contribute to national pride?,"The landmark symbolizes Kazakhstan's achievements and aspirations for a peaceful and harmonious future, instilling national pride.",3
What is the significance of the landmark's name?,The name 'Palace of Peace and Reconciliation' reflects the landmark's mission to promote peace and harmony.,3
What is the cultural significance of the 'Cradle' hall?,"The 'Cradle' hall hosts congresses of world and traditional-national religions, promoting cultural understanding and cooperation.",3
How does the landmark contribute to cultural diplomacy?,"The landmark serves as a venue for cultural events and international congresses, fostering cultural diplomacy and understanding.",3
What is the architectural significance of the landmark?,The landmark's pyramid shape and unique design reflect both aesthetic beauty and architectural innovation.,3
What values does the landmark embody?,"The landmark embodies values of peace, reconciliation, unity, and cultural diversity.",3
What is the educational role of the landmark?,"The landmark educates visitors about peace, cultural heritage, and the importance of dialogue and cooperation among nations.",3
How does the landmark contribute to social cohesion?,"The landmark brings people together through cultural events, promoting social cohesion and understanding.",3
What impact does the landmark have on the city's skyline?,"The landmark's illuminated top makes it a prominent feature of the city's skyline, especially at night.",3
What future role does the landmark envision?,"The landmark aims to continue promoting peace, reconciliation, and cultural exchange, serving as a beacon of hope for future generations.",3
What is the title of the museum?,National Museum of the Republic of Kazakhstan.,4
Where is the museum located?,"Астана, пр. Тәуелсіздік, 54.",4
What is the phone number of the museum?,+7 (7172) 79-04-39.,4
What is the link to the museum's webpage?,https://astana.citypass.kz/en/2017/05/15/natsionalnyiy-muzey-respubliki-kazahstan/,4
Who initiated the creation of the museum?,"The museum was created on behalf of the First President of Kazakhstan, Nursultan Nazarbayev.",4
Where is the museum building located?,"The museum building is located on Independence Square, the main square of the country.",4
What is the size of the museum's exhibition space?,"The museum has 11 exhibition halls with a total area of more than 14,000 sq. m.",4
How many blocks does the museum complex consist of?,The museum complex consists of seven blocks.,4
What are the names of the main halls in the museum?,"The main halls include Astana Hall, Hall of Independent Kazakhstan, Halls of Gold, Hall of Ancient and Medieval History, Hall of History, Hall of Ethnography, and Halls of Modern Art.",4
What facilities are available in the museum complex?,"The museum complex includes separate rooms for a children's museum, a center for children's creativity, exhibition halls, restoration workshops, laboratories, storage facilities, a scientific library, a conference room, and souvenir kiosks.",4
What is the significance of the Golden eagle at the entrance?,"The Golden eagle is a symbol of freedom, loyalty, and courage.",4
What is the purpose of the show 'dynamic layout of the Central part of modern Astana'?,The show displays the chronological order of construction of attractions and residential complexes of the city of Astana.,4
What modern exhibition technologies are used in the museum?,"The museum uses unique curved screens, media floors, dynamic layouts, media screens, holograms, LED technology, touch kiosks, multimedia guides, and other modern technologies.",4
What types of excursions are offered at the museum?,"The museum offers thematic and sightseeing excursions, specialized excursions, philosophical excursions, game-based excursions, and interactive classes.",4
What is the main goal of the museum?,The main goal is to become a cradle of modern culture and a place for intellectual reflection on the historical and cultural heritage of Kazakhstan.,4
What role do visitors play in the museum's approach?,"Visitors are considered active participants in the conversation with history, encouraging open dialogue.",4
What makes the museum building unique?,"The building features unusual shapes and stunning architectural solutions, attracting thousands of tourists.",4
How does the museum contribute to cultural preservation?,The museum preserves the cultural heritage of Kazakhstan through its exhibitions and educational programs.,4
What is the significance of the museum's location on Independence Square?,The location symbolizes the museum's connection to the country's history and independence.,4
What makes the museum the largest in Central Asia?,The museum's extensive exhibition space and diverse collection make it the largest in Central Asia.,4
How does the museum engage with children?,"The museum offers a children's museum, creative center, and interactive activities tailored for children.",4
What is the symbolism behind the museum's architecture?,The museum's architecture reflects the cultural and historical identity of Kazakhstan.,4
How does the museum incorporate modern technology?,"The museum uses state-of-the-art technology for exhibits, displays, and interactive experiences.",4
What cultural values are represented in the museum?,The museum represents the diverse cultural heritage of Kazakhstan through its exhibitions.,4
What is the significance of the museum's role in the community?,The museum serves as a center for cultural and intellectual activities in the community.,4
How does the museum contribute to tourism?,The museum attracts tourists by showcasing Kazakhstan's rich history and culture.,4
What educational resources are available at the museum?,"The museum offers a scientific library, educational programs, and interactive exhibits for learning.",4
What values does the museum aim to promote?,"The museum aims to promote values such as cultural appreciation, intellectual inquiry, and historical awareness.",4
What is the significance of the museum's layout?,The layout of the museum allows for an immersive and interactive experience for visitors.,4
How does the museum contribute to public understanding of history?,The museum provides insights into Kazakhstan's history through its exhibitions and educational programs.,4
What cultural events are hosted by the museum?,"The museum hosts cultural events such as exhibitions, workshops, and lectures.",4
What is the museum's approach to historical interpretation?,The museum offers a balanced and informative interpretation of Kazakhstan's history.,4
What role does the museum play in promoting national identity?,The museum serves as a platform for celebrating Kazakhstan's national identity and cultural heritage.,4
How does the museum contribute to international cultural exchange?,"The museum facilitates cultural exchange through exhibitions, collaborations, and educational initiatives.",4
What cultural themes are explored in the museum's exhibitions?,"The museum explores themes such as Kazakh traditions, history, art, and folklore.",4
What is the significance of the museum's role in cultural heritage?,The museum plays a crucial role in preserving and promoting Kazakhstan's cultural heritage for future generations.,4
What makes the museum a significant landmark in Astana?,The museum's architectural design and cultural importance make it a significant landmark in Astana.,4
What is the museum's role in promoting cultural diversity?,The museum celebrates Kazakhstan's cultural diversity through its exhibitions and programs.,4
How does the museum contribute to lifelong learning?,"The museum offers educational resources and programs for visitors of all ages, promoting lifelong learning.",4
What is the significance of the museum's role in shaping national memory?,The museum helps shape national memory by preserving and presenting Kazakhstan's history and heritage.,4
What is the title of the monument?,«Astana-Baiterek» Monument.,5
Where is the monument located?,"Астана, Нуржол бульвар, 14.",5
What is the phone number of the monument?,+7 (7172) 79-04-39.,5
What is the link to the monument's webpage?,https://astana.citypass.kz/en/2017/05/15/bayterek/,5
Who came up with the idea of erecting the monument?,The idea of erecting the monument belongs to the First President of the Republic of Kazakhstan – Nursultan Nazarbayev.,5
What inspired the idea of the monument?,"The idea of the monument arose from Nursultan Nazarbayev on Board the presidential plane, during a flight.",5
What does the monument symbolize?,"The monument symbolizes the World river and the Tree of Life, interpreting the views of ancient nomads.",5
What experience does the monument offer to visitors?,Visitors can enjoy panoramic views of the capital and absorb the steppe expanse of Kazakhstan from the top of the monument.,5
What is located at the center of the monument's hall?,At the center of the hall is a wooden globe with autographs left by representatives of 17 religions.,5
What tradition do visitors believe in when visiting the monument?,"Visitors believe that if they make a wish while putting their hand in the impression of the President's right hand, it will come true.",5
Who supervised the construction of the monument?,The construction of the monument was supervised by domestic architects B. Islamov and A. Rustembekov.,5
How long did it take to construct the monument?,"The construction of the monument took 6 years, from 1996 to 2002.",5
What award did the monument receive after its opening?,"After its opening, the monument was awarded the prestigious Grand Prix award in a competition organized by the international Association of the Union of Architects (MASA) of the CIS countries.",5
How is the monument divided internally?,"Internally, the monument is divided into three zones: the underground level, the ground level, and the sky level.",5
What facilities are available at the underground level of the monument?,"The underground level of the monument features aquariums, cafes, and an exhibition gallery with art objects.",5
What is the ground level of the monument?,The ground level of the monument is a tower with high-speed elevators.,5
What is the sky level of the monument?,"The sky level of the monument is the glass ball itself, offering tourists panoramic views of the capital.",5
What is the significance of the Baiterek monument?,"The Baiterek monument is the embodiment of the ideology of the entire state, representing the past, present, and future of Kazakhstan.",5
What is the average annual number of tourists visiting the monument?,"On average, about 500 thousand tourists visit the monument every year.",5
What major work was carried out on the monument in 2017?,"In 2017, major repairs and reconstruction of the monument were carried out, including finishing the interior.",5
What was the price of a ticket to the monument after the restoration?,"After the restoration, the price of a ticket to the monument changed to 700 tenge for adults and 300 tenge for children.",5
What amenities are available for visitors at the monument?,"For visitors, there are cozy cafes and bars, a shop with souvenirs, and polite staff ready to help.",5
What is the role of the monument in promoting tourism?,The monument is one of the main attractions of the capital that attracts tourists and contributes to the city's tourism industry.,5
How does the monument accommodate large crowds of visitors?,The monument offers amenities such as online booking to accommodate large crowds and reduce queues.,5
What is the significance of the monument's design?,The monument's design reflects the cultural and historical significance of Kazakhstan and its capital.,5
What makes the monument a unique attraction?,"The monument's unique design and symbolism, along with its panoramic views, make it a must-visit attraction for tourists.",5
How does the monument contribute to the city's cultural landscape?,The monument adds to the city's cultural landscape by showcasing Kazakh culture and history through its architecture and exhibitions.,5
What makes the monument a symbol of national pride?,"The monument's significance as a symbol of Kazakhstan's past, present, and future makes it a source of national pride for its citizens.",5
What features of the monument's construction demonstrate its engineering prowess?,"The construction of the monument's tower and glass ball, along with its internal divisions and facilities, demonstrate its engineering complexity and innovation.",5
What is the connection between the monument and ancient nomadic views?,"The monument's symbolism, such as the World river and the Tree of Life, interprets the views of ancient nomads, connecting the past with the present.",5
What cultural significance does the monument hold for Kazakhstan?,"The monument holds cultural significance as a representation of Kazakhstan's identity, values, and aspirations for the future.",5
How does the monument contribute to public engagement with history and culture?,"The monument offers exhibitions, galleries, and interactive experiences that engage visitors with Kazakh history, culture, and art.",5
What is the philosophical meaning behind the monument's design?,"The monument's design symbolizes the connection between the past, present, and future, reflecting philosophical concepts of time and continuity.",5
What cultural artifacts are displayed at the monument?,The monument displays art objects and artifacts from Kazakh artists and cultural heritage sites.,5
How does the monument contribute to religious diversity?,"The monument features a wooden globe with autographs from representatives of 17 religions, promoting religious diversity and tolerance.",5
What role does the monument play in promoting tourism in Kazakhstan?,The monument serves as a landmark attraction that draws tourists to Kazakhstan and showcases its cultural and architectural heritage.,5
What amenities are available for visitors at the monument?,"The monument offers amenities such as cafes, bars, souvenir shops, and friendly staff to enhance visitors' experience.",5
How does the monument contribute to the city's skyline?,"The monument's distinctive tower and glass ball add to the city's skyline, making it a recognizable feature of Astana's landscape.",5
What role does the monument play in promoting national identity?,"The monument serves as a symbol of Kazakhstan's national identity, representing its history, culture, and aspirations for the future.",5
What significance does the monument hold for visitors?,"For visitors, the monument offers a unique experience of Kazakhstan's culture, history, and architectural innovation.",5
What is the historical context of the monument's construction?,The monument was constructed in the late 20th and early 21st centuries as a symbol of Kazakhstan's independence and aspirations for the future.,5
How does the monument reflect the aspirations of the Kazakh people?,"The monument reflects the Kazakh people's desire for progress, prosperity, and cultural preservation, as symbolized by its design and symbolism.",5
What is the title of the oceanarium?,The Oceanarium «Ailand».,6
Where is the oceanarium located?,"Астана, Коргалжинское шоссе, 2.",6
What is the phone number of the oceanarium?,+7 (7172) 79-04-39.,6
What is the link to the oceanarium's webpage?,https://astana.citypass.kz/en/2017/05/15/rts-duman/,6
What is unique about the oceanarium's location?,"The oceanarium is considered to be the most remote from the ocean in the world, with a distance of more than 3000 km from the nearest ocean.",6
When did the oceanarium open?,The oceanarium opened back in 2003.,6
How much water does the oceanarium hold?,The oceanarium holds 3 million liters of water and 120 tons of sea salt.,6
How many tourists visit the oceanarium annually?,Hundreds of thousands of tourists visit the oceanarium every year.,6
What kind of marine animals can visitors see in the oceanarium?,"Visitors can see more than two thousand marine animals, including representatives of several hundred species.",6
What are some examples of marine animals in the oceanarium?,"Examples of marine animals in the oceanarium include cat sharks, starfish, and seahorses.",6
What is special about the central reservoir in the oceanarium?,"The central reservoir has an acrylic tunnel with a length of 70 meters, giving visitors the feeling of being on the sea floor.",6
How many exhibition bays does the oceanarium have?,The oceanarium has two exhibition bays.,6
What can visitors observe in the exhibition bays?,Visitors can observe the life of fish in tanks of various volumes and learn about the life of inhabitants of the deep ocean from different parts of the world.,6
What types of fish are housed in the oceanarium?,"Residents of fresh waters of the South-Eastern region, inhabitants of coral reefs, and exotic inhabitants of South America are housed in the oceanarium.",6
What is the experience like for visitors to the oceanarium?,"Visitors typically have a positive experience and enjoy a trip to the oceanarium, often leaving with positive emotions.",6
How does the oceanarium enhance its visitors' experience?,The oceanarium offers a ticket price discount with an Astana PASS smart card and allows visitors to bypass queues with an online card.,6
What is the capacity of the oceanarium?,The capacity of the oceanarium is not specified.,6
What is the role of the oceanarium in promoting tourism?,"The oceanarium serves as a tourist attraction, drawing visitors to Astana.",6
What is the significance of the oceanarium's Guinness World Records listing?,The oceanarium's listing in the Guinness World Records adds to its uniqueness and appeal as a tourist destination.,6
How does the oceanarium contribute to education about marine life?,The oceanarium educates visitors about marine life by showcasing a wide variety of species and habitats.,6
What amenities are provided for visitors at the oceanarium?,The oceanarium provides amenities such as ticket discounts and online booking options.,6
What distinguishes the oceanarium from other attractions in Astana?,The oceanarium's uniqueness lies in its remote location from the ocean and its Guinness World Records listing.,6
How does the oceanarium contribute to the city's cultural landscape?,The oceanarium adds diversity to the city's cultural offerings by providing an immersive experience of the ocean.,6
What is the primary draw for visitors to the oceanarium?,The primary draw for visitors is the opportunity to experience the underwater world and see a wide variety of marine animals.,6
What kind of ticket discounts are available for the oceanarium?,Ticket discounts are available with an Astana PASS smart card.,6
How does the oceanarium contribute to the city's economy?,"The oceanarium attracts tourists, which contributes to the city's economy through spending on accommodation, dining, and other activities.",6
What promotional opportunities are available for visitors to the oceanarium?,Visitors can take advantage of promotional offers such as ticket discounts and queue bypass with an online card.,6
What makes the oceanarium's acrylic tunnel unique?,The acrylic tunnel in the oceanarium is 70 meters long and gives visitors the feeling of being on the sea floor.,6
How does the oceanarium accommodate visitors?,The oceanarium accommodates visitors by providing an immersive experience of the underwater world and offering amenities such as ticket discounts.,6
What is the primary attraction of the oceanarium?,The primary attraction of the oceanarium is its extensive collection of marine animals and its Guinness World Records listing.,6
What distinguishes the oceanarium's exhibitions?,"The oceanarium's exhibitions showcase a wide variety of marine life and habitats, allowing visitors to learn about different ecosystems.",6
How does the oceanarium contribute to environmental awareness?,The oceanarium educates visitors about marine conservation and the importance of protecting ocean ecosystems.,6
What role does the oceanarium play in entertainment in Astana?,The oceanarium offers entertainment by providing an immersive experience of the underwater world.,6
What are the benefits of visiting the oceanarium?,Visitors to the oceanarium can enjoy an immersive experience of marine life and learn about different species and habitats.,6
How does the oceanarium accommodate large crowds?,The oceanarium offers amenities such as online booking and ticket discounts to accommodate large crowds.,6
