Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL,Тип
Көкtem,центральное кафе,Кафе; Доставка готовых блюд; Кофейни; Кондитерские изделия,"улица Динмухамед Конаев, 12/1",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-02:00; Сб: 09:00-02:00; Вс: 09:00-24:00 (служба доставки: пн-вс 8:00-2:00),+05:00,4.1,2778,87172689999,87010689993,,cafekoktem@gmail.com,,http://cafekoktem.kz,http://koktem.kamiqr.com/menu/1?type=for_order,https://instagram.com/cafekoktem,,,https://wa.me/77010689993,,,,,,51.129288,71.42845,https://2gis.com/firm/70000001032494391,branch
Kebab Pub,,Кафе; Бары,"проспект Кабанбай батыр, 40",цокольный этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.8,205,87478101885,87007574152,,bissenbayev_b@mail.ru,,,,https://instagram.com/kebab_pub_,,,https://wa.me/77007574152,https://wa.me/77478101885,,,,,51.120673,71.414523,https://2gis.com/firm/70000001075884220,branch
Molecula bar and more,,Кафе; Бары; Караоке-залы,"улица Туркестан, 8",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 16:00-04:00; Вт: 16:00-04:00; Ср: 16:00-04:00; Чт: 16:00-04:00; Пт: 16:00-04:00; Сб: 16:00-04:00; Вс: 16:00-04:00,+05:00,4.5,234,87772038080,,,moleculalounge@gmail.com,,,,https://instagram.com/molecula.astana,,,https://wa.me/77772038080,,,,,,51.115132,71.427816,https://2gis.com/firm/70000001061219904,branch
Wood Pub,,Кафе; Бары; Караоке-залы,"улица Каныш Сатпаев, 23/1",цокольный этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 14:00-02:00; Вт: 14:00-02:00; Ср: 14:00-02:00; Чт: 14:00-02:00; Пт: 14:00-04:00; Сб: 14:00-04:00; Вс: 14:00-02:00,+05:00,4.7,102,87002395350,,,woodpub@astrgroup.kz,,,,https://instagram.com/woodpub_astana,,,https://wa.me/77002395350,,,,https://t.me/+77002395350,,51.14255,71.473982,https://2gis.com/firm/70000001064289617,branch
Iskender Food,,Кафе; Доставка готовых блюд,"проспект Кабанбай батыр, 42",цокольный этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,4.9,237,87471478888,,,,,,,https://instagram.com/iskender_food,,,https://wa.me/77471478888,,,,,,51.119802,71.413815,https://2gis.com/firm/70000001075335941,branch
Partizan,паб,Кафе; Бары,"улица Беимбет Майлин, 13/1",,,3 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 17:00-02:00; Вт: 17:00-02:00; Ср: 17:00-02:00; Чт: 17:00-02:00; Пт: 17:00-03:00; Сб: 17:00-03:00; Вс: 17:00-02:00,+05:00,4.9,57,87017062226,,,bsn_swetlana@mail.ru,,,,https://instagram.com/partizan_pub,,,https://wa.me/77017062226,,,,,,51.144482,71.471846,https://2gis.com/firm/70000001042589992,branch
DM,,Кафе; Доставка готовых блюд,"улица Туркестан, 18",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-02:00; Вт: 11:00-02:00; Ср: 11:00-02:00; Чт: 11:00-02:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-02:00,+05:00,4.6,4031,87051252525,,,,,,,https://instagram.com/cafe_dm_kz,,,https://wa.me/77051252525,,,,,,51.104607,71.424108,https://2gis.com/firm/70000001059293635,branch
Crepe Mix,,Кафе,"проспект Кабанбай батыр, 47/1",2 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,5.0,37,87027343858,87017345655,,,,,,https://instagram.com/crepe_mix_,,,https://wa.me/77027343858,https://wa.me/77017345655,,,,,51.10378,71.402363,https://2gis.com/firm/70000001077237212,branch
Бешбармак,,Кафе; Доставка готовых блюд,"проспект Кабанбай батыр, 40",цокольный этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-02:00; Вт: 10:00-02:00; Ср: 10:00-02:00; Чт: 10:00-02:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-02:00,+05:00,4.8,84,87077288895,,,,,,,https://instagram.com/besbarmak_astana,,,https://wa.me/77077288895,,,,,,51.122109,71.415551,https://2gis.com/firm/70000001075240919,branch
Огонёк,шашлычная,Кафе; Доставка готовых блюд; Бары,"улица Жекебатыр, 31",1 этаж,,Шубар м-н,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-00:30; Вт: 12:00-00:30; Ср: 12:00-00:30; Чт: 12:00-00:30; Пт: 12:00-00:30; Сб: 12:00-00:30; Вс: 12:00-00:30 (санитарный день: ср 12:00-15:00; служба доставки: пн-вс круглосуточно),+05:00,4.2,1462,87052018555,87779991891 (служба доставки ),,_aziat_@inbox.ru,,http://www.ogn.kz,,https://instagram.com/ogonek_astana,https://facebook.com/899317470238699,,https://wa.me/77779991893,,,,https://t.me/+77779991893,,51.145113,71.424505,https://2gis.com/firm/70000001065250004,branch
Пошашлычим,гриль-бар,Кафе,"улица Кажымукан, 6а",,,2 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.6,164,87027477737,,,,,,,https://instagram.com/poshashlychim_grillbar,,,,,,,,,51.152297,71.461625,https://2gis.com/firm/70000001048402342,branch
Thompson,бар,Кафе; Бары,"улица Габит Мусрепов, 6",,,9 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 16:00-02:00; Вт: 16:00-02:00; Ср: 16:00-02:00; Чт: 16:00-02:00; Пт: 16:00-02:00; Сб: 16:00-02:00; Вс: 16:00-02:00,+05:00,4.7,39,87711275332,,,,,,,https://instagram.com/thompson_astana,,,https://wa.me/77711275332,,,,,,51.152293,71.500975,https://2gis.com/firm/70000001076106091,branch
Иналь,кафе,Кафе; Доставка готовых блюд; Караоке-залы; Банкетные залы,"проспект Нургиса Тлендиева, 230",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.0,214,87076463424,,,,,,,https://instagram.com/inal_cafe,,,https://wa.me/77076463424,,,,,,51.179417,71.370895,https://2gis.com/firm/70000001032609632,branch
Шымкент,,Кафе; Доставка готовых блюд; Банкетные залы,"улица Ыкылас Дукенулы, 36",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.1,210,87059064646,87751521551,,enk22@mail.ru,,,,https://instagram.com/shymkent_cafe,,,https://wa.me/77751521551,,,,,,51.180534,71.435025,https://2gis.com/firm/70000001028284612,branch
Peek-a-boo,кафе южно-корейской кухни,Кафе; Доставка готовых блюд,"улица Динмухамед Конаев, 12/1",ВП: 6,,,Есиль район,Астана,,Астана,Казахстан,Пн: 08:00-02:00; Вт: 08:00-02:00; Ср: 08:00-02:00; Чт: 08:00-02:00; Пт: 08:00-02:00; Сб: 08:00-02:00; Вс: 08:00-02:00,+05:00,4.4,1676,87788181778,,,peekaboo.eat@gmail.com,,http://peekaboo.kamiqr.com/menu/1?type=at_place,,https://instagram.com/peekaboo_eat,https://facebook.com/peekaboo.eat,,https://wa.me/77788181778,,,,https://t.me/+77788181778,,51.129335,71.428169,https://2gis.com/firm/70000001046956645,branch
Bal Tagam,семейное кафе ,Кафе; Доставка готовых блюд,"улица Абикен Бектуров, 1/2",,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.3,92,87470294194,,,,,http://70000001076177262.2gis.biz/,,https://instagram.com/bal_tagam.ast,,,https://wa.me/77470294194,,,,https://t.me/+77470294194,,51.130561,71.397081,https://2gis.com/firm/70000001076177263,branch
The Doner на углях,кафе фастфудной продукции,Кафе; Быстрое питание; Доставка готовых блюд; Пиццерии,"улица Туркестан, 34Б",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.1,439,87715295588,,,love-sushi@bk.ru,,,,https://instagram.com/the_doner.astana,,,,,,,,,51.094362,71.420224,https://2gis.com/firm/70000001058772528,branch
Altyn Palau,,Кафе; Доставка готовых блюд,"улица Елубай Тайбеков, 12",,,Шубар м-н,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+05:00,4.4,551,87003001614,,,altyn.palau@mail.ru,,,,https://instagram.com/altyn_palau_astana,,,https://wa.me/77005403039,,,,,,51.145454,71.42701,https://2gis.com/firm/70000001076197195,branch
Бату Донер,,Кафе; Пекарни,"проспект Женис, 53",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.0,596,87753967888,,,,,,,https://instagram.com/batu_foodlove,,,https://wa.me/77753967888,,,,,,51.180519,71.409144,https://2gis.com/firm/70000001029650614,branch
Ночной Баку,,Кафе; Караоке-залы,"проспект Абая, 36",цокольный этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 13:00-02:00; Вт: 13:00-02:00; Ср: 13:00-02:00; Чт: 13:00-02:00; Пт: 13:00-02:00; Сб: 13:00-02:00; Вс: 13:00-02:00,+05:00,4.9,128,87021325888,,,,,,,https://instagram.com/nochnoy.baku01,,,https://wa.me/77021325888,,,,https://t.me/+77021325888,,51.168735,71.432405,https://2gis.com/firm/70000001061504839,branch
Samgepo,кафе корейской кухни,Кафе; Доставка готовых блюд,"улица Кенесары, 47",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.6,336,87084250890,87172250890,,samgepo@mail.ru,,http://sampego.foodpicasso.com/,,https://instagram.com/samgepo,,,https://wa.me/77084250890,,,,,,51.166263,71.431042,https://2gis.com/firm/70000001059726382,branch
Hop House Bar&Steak,бар,Кафе; Бары,"улица Алихан Бокейхан, 44",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 17:00-03:00; Вт: 17:00-03:00; Ср: 17:00-03:00; Чт: 17:00-03:00; Пт: 17:00-04:00; Сб: 17:00-04:00; Вс: 17:00-03:00,+05:00,4.7,71,87020982003,,,,,,,https://instagram.com/hophouse_bar,,,https://wa.me/77020982003,,,,,,51.087961,71.427475,https://2gis.com/firm/70000001074563347,branch
Dami ,халяльное кафе,Кафе; Доставка готовых блюд,"улица Кайым Мухамедханов, 4а",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-02:00; Вт: 09:00-02:00; Ср: 09:00-02:00; Чт: 09:00-02:00; Пт: 09:00-02:00; Сб: 09:00-02:00; Вс: 09:00-02:00,+05:00,4.6,670,87761001202 (отдел бронирования),87055071548 (служба доставки),,damitokyo.astana@gmail.com,,http://taplink.cc/dami_cafeastana,,https://instagram.com/dami_cafeastana,,,https://wa.me/77761001202,https://wa.me/77055071548,,,,,51.137423,71.402564,https://2gis.com/firm/70000001062852819,branch
Мята,лаундж бар,Кафе; Бары,"улица Шамши Калдаяков, 3",1 блок; НП: 201,,,Алматы район,Астана,,Астана,Казахстан,Пн: 16:00-04:00; Вт: 16:00-04:00; Ср: 16:00-04:00; Чт: 16:00-04:00; Пт: 16:00-04:00; Сб: 16:00-04:00; Вс: 16:00-04:00,+05:00,4.8,68,87075514541,,,myata.highvill.ishim@gmail.com,,http://myatahi.kz,,https://instagram.com/myata_ishim_highvill,,,https://wa.me/77075514541,,,,,,51.118602,71.460483,https://2gis.com/firm/70000001068084921,branch
Korean street food,кафе корейской кухни,Кафе; Доставка готовых блюд,"улица Илияс Есенберлин, 28а",ВП: 4,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+05:00,4.8,1534,87773503333,,,,,http://koreanstreetfood.kz,,https://instagram.com/ksf.astana,,,https://wa.me/77773503333,,,,,,51.188525,71.414293,https://2gis.com/firm/70000001061681213,branch
Yakuza Sushi & Wok Bar,,Кафе; Бары; Доставка готовых блюд; Суши-бары; Рестораны,"улица Кайым Мухамедханов, 9",1 этаж,,Караоткель-1 м-н,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00 (служба доставки: пн-вс 11:00-00:30),+05:00,4.2,701,87768899688 (бронь столов),87789001219 (директор),87020065558 (колл-центр),,,http://yakuza-sushi.kz,http://yakuza-sushi.minisite.ai,https://instagram.com/yakuza.astana,,,https://wa.me/77789001219,https://wa.me/77768899688,,,https://t.me/+77789001219,,51.138539,71.400547,https://2gis.com/firm/70000001039804729,branch
Veggie House,вегетарианское кафе,Кафе; Доставка готовых блюд; Диетические / соевые продукты; Кондитерские изделия,"проспект Улы Дала, 56/1",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.5,294,87072474141,87055959819,,,,http://veganhouse.kz,,https://instagram.com/veggie_house01,,,https://wa.me/77072474141,,,,,,51.096477,71.409014,https://2gis.com/firm/70000001022909588,branch
Ken`s ,лаундж-бар ,Кафе; Бары,"улица Казыбек би, 9/3",,,,Нура район,Астана,,Астана,Казахстан,Пн: 15:00-03:00; Вт: 15:00-03:00; Ср: 15:00-03:00; Чт: 15:00-03:00; Пт: 15:00-04:00; Сб: 15:00-04:00; Вс: 15:00-03:00,+05:00,4.8,155,87089148052,,,,,,,https://instagram.com/kens_lounge_bar,,,https://wa.me/77089148052,https://wa.me/77084250581,,,https://t.me/+77054250581,,51.118824,71.391443,https://2gis.com/firm/70000001078491104,branch
Ajwa cafe,,Кафе,"проспект Абая, 98г",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.3,176,87085885919,,,karbunkul01@gmail.com,,http://ajwa.kamiqr.com/menu/delivery?utm_media=qr,,https://instagram.com/ajwa_cafe_astana,,,https://wa.me/77085885919,,,,,,51.163731,71.469109,https://2gis.com/firm/70000001064083762,branch
Kinza +,,Кафе,"улица Санжара Асфендиярова, 4",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.4,328,87781618305,,,,,,,https://instagram.com/kinza.plus_cafe,,,https://wa.me/77781618305,,,,,,51.131806,71.380439,https://2gis.com/firm/70000001064240770,branch
Кашгар,кафе,Кафе; Доставка готовых блюд,"улица Сарайшык, 4",1-2 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.3,467,87780078857,,,kashgarkafe@gmail.com,,http://kashgarkafe.2gis.biz,,https://instagram.com/kashgar_kafe,,,https://wa.me/77780078857,,,,,,51.134797,71.417983,https://2gis.com/firm/70000001059710870,branch
