Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Gaststätte,ресторан баварской кухни,Рестораны; Бары,"проспект Женис, 2",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:30-23:00; Вт: 12:30-23:00; Ср: 12:30-23:00; Чт: 12:30-23:00; Пт: 12:30-24:00; Сб: 12:30-24:00; Вс: 12:30-21:00,+05:00,4.8,111,87172995299,87015662626,87011977785,,,,,,,https://instagram.com/gaststatte_astana,,,,https://wa.me/77015662626,,,,https://t.me/+77011977785,,,51.160661,71.415301,https://2gis.com/firm/70000001018067004,branch
Ribambelle,семейный ресторан,Рестораны; Организация и проведение праздников; Кондитерские изделия,"улица Достык, 16",3 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.0,186,87717791155,,,marketing@ribambelle.kz,,,http://ribambelle.kz,,,https://instagram.com/ribambellekz,,,,https://wa.me/77717791155,https://wa.me/77011230732,,,https://t.me/+77717791155,,,51.125259,71.431884,https://2gis.com/firm/70000001043874646,branch
KUTAISI,ресторан грузинской кухни и пекарня,Рестораны; Бары; Пекарни,"проспект Бауыржан Момышулы, 13",1 этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.4,232,"87780020303 (ресторан, служба доставки )",87015410304 (пекарня),,kutaisi.rest.ast@gmail.com,,,http://kutaisi.2gis.biz,,,https://instagram.com/kutaisi.rest.ast,,,,https://wa.me/77780020303,,,,,,,51.137954,71.469733,https://2gis.com/firm/70000001066218293,branch
Daididau,ресторан казахской национальной и авторской кухни,Рестораны; Кейтеринг,"улица Динмухамед Конаев, 14",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00,+05:00,4.5,154,87780007841,,,restaurant_daididau@mail.ru,,,,,,https://instagram.com/daididau.restaurant,,,,https://wa.me/77780007841,,,,https://t.me/+77780007841,,,51.128657,71.432791,https://2gis.com/firm/70000001074576850,branch
Terrasa Comfort,,Рестораны; Бары; Караоке-залы,"улица Космонавтов, 60",,,Шубар м-н,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00,+05:00,4.4,131,87018071385 (банкетный зал ),,,info@comforthotel.kz,,,http://comforthotel.kz/,,,https://instagram.com/comfort_hotel_astana,,,,https://wa.me/77018071385,,,,,,,51.146618,71.42528,https://2gis.com/firm/70000001055039789,branch
InstaCafe ,семейный ресторан,Рестораны,"улица Балкантау, 92",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-24:00,+05:00,4.8,44,87779484445,,,,,,,,,https://instagram.com/instacafe_astana,,,,https://wa.me/77779484445,,,,https://t.me/+77779484445,,,51.13174,71.4787,https://2gis.com/firm/70000001082507762,branch
Grande,семейный ресторан,Рестораны; Банкетные залы,"улица Туркестан, 10",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.5,513,87754423597,,,,,,,,,https://instagram.com/grande.astana,,,,https://wa.me/77754423597,,,,,,,51.111263,71.426814,https://2gis.com/firm/70000001080779769,branch
Казбек,чайхана премиум,Рестораны; Бары,"улица Алихан Бокейхан, 6",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-01:00,+05:00,4.5,241,87013528686,,,kazbekpremium@gmail.com,,,http://kazbekpremiumchaikhana.2gis.biz,http://tiktok.com/@kazbek_premium,http://kazbekpremium.taplink.ws/,https://instagram.com/kazbek_premium,,,,https://wa.me/77013528686,,,,https://t.me/+77013528686,,,51.116301,71.439708,https://2gis.com/firm/70000001065738755,branch
Грузин Кузин,,Рестораны; Доставка готовых блюд,"улица Динмухамед Конаев, 14",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.8,495,87020079880,,,,,,,,,https://instagram.com/gruzin_kz,,,,https://wa.me/77020079880,,,,,,,51.128325,71.435486,https://2gis.com/firm/70000001081673773,branch
Yakuza Sushi & Wok Bar,,Рестораны; Бары; Кафе; Доставка готовых блюд; Суши-бары,"улица Кайым Мухамедханов, 9",1 этаж,,Караоткель-1 м-н,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00 (служба доставки: пн-вс 11:00-00:30),+05:00,4.2,701,87768899688 (бронь столов),87789001219 (директор),87020065558 (колл-центр),,,,http://yakuza-sushi.kz,http://yakuza-sushi.minisite.ai,,https://instagram.com/yakuza.astana,,,,https://wa.me/77789001219,https://wa.me/77768899688,,,https://t.me/+77789001219,,,51.138539,71.400547,https://2gis.com/firm/70000001039804729,branch
Столичные раки,зона отдыха,Рестораны; Базы отдыха; Бани / Сауны,"улица Акжайык, 3",,,,,,Аршалынский район,Акмолинская область,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,4.0,207,87017933437,87760222270,,smagay@mail.ru,,,,,,https://instagram.com/stolichnyeraki,,,,https://wa.me/77017933437,https://wa.me/77760222270,,,,,,51.087449,71.774656,https://2gis.com/firm/70000001023565576,branch
Sakaba,ресторан японской кухни,Рестораны; Бары; Доставка готовых блюд,"улица Сагадат Нурмагамбетов, 19",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.9,81,87055728125,,,,,,,,,https://instagram.com/sakaba.kz,,,,https://wa.me/77055728125,,,,,,,51.115511,71.482805,https://2gis.com/firm/70000001080133185,branch
Aula,чайхана,Рестораны,"улица Е-899, 1/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.0,135,87710854141,87080854141,,aulaastana@gmail.com,,,,,,https://instagram.com/aula_ast,,,,https://wa.me/77710854141,,,,,,,51.131877,71.387147,https://2gis.com/firm/70000001083813383,branch
Granada,ресторан европейской и грузинской кухни,Рестораны; Доставка готовых блюд; Бары,"проспект Кабанбай батыр, 49",,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00,+05:00,4.6,454,87007370050,,,granadaastana@gmail.com,,,,,,https://instagram.com/granada.restaurant,,,,https://wa.me/77007370050,,,,,,,51.102302,71.405902,https://2gis.com/firm/70000001051432622,branch
А8,семейный ресторан,Рестораны; Караоке-залы,"проспект Ракымжан Кошкарбаев, 1/1",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00,+05:00,4.3,545,87775895588,,,,,,,,,https://instagram.com/restaurant_a8,,,,https://wa.me/77775895588,,,,,,,51.128784,71.465361,https://2gis.com/firm/70000001069502569,branch
AlmaWine,ресторан,Рестораны; Бары,"улица Туркестан, 18",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-01:00,+05:00,4.6,102,87710558133,,,,,,,,,https://instagram.com/almawine_astana,,,,https://wa.me/77710558133,,,,,,,51.10456,71.424441,https://2gis.com/firm/70000001053405771,branch
Jent,ресторан национальной кухни ,Рестораны; Караоке-залы,"улица Керей-Жанибек хандар, 22",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.7,210,87022727769,,,,,,http://jent.2gis.biz,,,https://instagram.com/jent_restaurant,,,,https://wa.me/77022727769,,,,,,,51.113269,71.429076,https://2gis.com/firm/70000001081872847,branch
Dune,,Рестораны,"улица Сарайшык, 6",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-01:00; Сб: 10:00-01:00; Вс: 10:00-24:00,+05:00,4.4,69,87766664069,,,,,,,,,https://instagram.com/dune.astana,,,,https://wa.me/77766664069,,,,,,,51.135083,71.419493,https://2gis.com/firm/70000001071743862,branch
Chaihana NAVAT,ресторан,Рестораны; Доставка готовых блюд,"проспект Мангилик Ел, 27",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00 (служба доставки: пн-вс 10:30-22:00),+05:00,4.8,1989,87051551111,,,chaihana.navat.kz@gmail.com,,,http://navat.kz,,,https://instagram.com/navat_astana,,https://facebook.com/navat.kz,,,,,,,,https://youtube.com/channel/UCG1BLltcElVfRcoH5Z8pHEg,51.109763,71.431121,https://2gis.com/firm/70000001069294638,branch
Panno,ресторан,Рестораны; Бары; Караоке-залы; Доставка готовых блюд,"улица Достык, 13",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 17:00-01:00; Вт: 17:00-01:00; Ср: 17:00-01:00; Чт: 17:00-01:00; Пт: 17:00-03:00; Сб: 17:00-03:00; Вс: 17:00-01:00,+05:00,4.2,202,87074545455,,,work.pano.restaurant@gmail.com,,,,,,https://instagram.com/panno.astana,,,,https://wa.me/77074545455,,,,,,,51.126586,71.436818,https://2gis.com/firm/70000001069577746,branch
Mandarin,ресторан,Рестораны; Доставка готовых блюд; Суши-бары; Бары,"улица Шамши Калдаяков, 3",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-24:00,+05:00,4.7,275,87009990606,,,,,,,,,https://instagram.com/mandarin.astana,,,,https://wa.me/77009990606,,,,https://t.me/+77009990606,,,51.118795,71.459251,https://2gis.com/firm/70000001068978315,branch
Mary,,Рестораны; Доставка готовых блюд,"улица Сыганак, 60/5",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.2,498,87779372424,,,,,,http://mary.kamiqr.com/menu/delivery,,,https://instagram.com/mary_kazakhstan__,,,,https://wa.me/77779372424,,,,https://t.me/+77779372424,,,51.122574,71.429008,https://2gis.com/firm/70000001060285990,branch
Frau Muller,ресто-паб,Рестораны; Бары; Караоке-залы,"улица Сарайшык, 5г",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-03:00,+05:00,4.3,50,87051815891,,,,,,,,,https://instagram.com/fraumullerkz,,,,https://wa.me/77051815891,,,,,,,51.136115,71.420898,https://2gis.com/firm/70000001081855596,branch
Safran,ресторан,Рестораны,"проспект Туран, 37",3 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.2,215,87768357474,,,,,,http://safran.kamiqr.com/menu/at-place?utm_media=qr,,,https://instagram.com/safran_astana,,,,https://wa.me/77768357474,,,,,,,51.133044,71.403495,https://2gis.com/firm/70000001076292666,branch
Extaz,караоке-бар,Рестораны; Караоке-залы; Бары,"улица Наркескен, 1",,,Шубар м-н,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,573,87774806868,87080806868,,,,,,,,https://instagram.com/extaz.karaoke,,,,https://wa.me/77774806868,,,,,,,51.149304,71.429339,https://2gis.com/firm/70000001060937075,branch
Ramada by Wyndham,,Рестораны; Гостиницы; Банкетные залы; Конференц-залы / Переговорные комнаты; Караоке-залы,"улица Бейбитшилик, 8",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,118,87172700999,,,hr@ramadaastana.com,reservation@ramadaastana.com,info@ramadaastana.com,http://ramadaastana.com,,,https://instagram.com/ramadaastana,,https://facebook.com/ramadaastana,,https://wa.me/77717009997,,,,https://t.me/ramadanursultan,,,51.167264,71.4213,https://2gis.com/firm/70000001047499955,branch
Berёzka,,Рестораны; Бары; Караоке-залы; Ночные клубы,"проспект Мангилик Ел, 55а",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-03:00; Чт: 12:00-03:00; Пт: 12:00-04:00; Сб: 14:00-04:00; Вс: 14:00-02:00,+05:00,4.0,508,87710006006,,,,,,,,,https://instagram.com/berezka.ast,,,,https://wa.me/77710006006,,,,,,,51.090761,71.42323,https://2gis.com/firm/70000001064868442,branch
Ми Ген,ресторан корейской кухни,Рестораны; Доставка готовых блюд,"проспект Кабанбай батыр, 2",2 этаж,,Шубар м-н,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.1,135,87017732447,87172242904,,,,,http://migen.kz,,,https://instagram.com/migen_astana,,,,https://wa.me/77017732447,,,,,,,51.149419,71.42609,https://2gis.com/firm/70000001018105135,branch
Edition,лаундж-бар,Рестораны; Бары; Караоке-залы,"улица Беимбет Майлин, 16/6",,,Қараөткел ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 13:00-02:00,+05:00,4.6,669,87010931616,,,,,,,,,https://instagram.com/myata.edition,,,,https://wa.me/77010931616,,,,,,,51.14542,71.476802,https://2gis.com/firm/70000001051840474,branch
SB Karaoke Bar,,Рестораны; Караоке-залы; Бары,"улица Е-489, 7",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 17:00-03:00; Вт: 17:00-03:00; Ср: 17:00-03:00; Чт: 17:00-03:00; Пт: 17:00-05:00; Сб: 17:00-05:00; Вс: 17:00-03:00,+05:00,4.9,111,87073234788,,,,,,,,,https://instagram.com/sb_karaoke_bar,,,,https://wa.me/77073234788,,,,,,,51.145041,71.37747,https://2gis.com/firm/70000001067109781,branch
Гаухартас,банкетный зал,Рестораны; Банкетные залы,"улица Ермек Серкебаев, 11",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.0,389,87760077725,,,,,,,,,https://instagram.com/restaurant.gaukhartas,,,,https://wa.me/77760077725,,,,,,,51.167915,71.388941,https://2gis.com/firm/70000001029710088,branch
Aq Anyz,ресторан восточной кухни,Рестораны; Доставка готовых блюд,"улица Динмухамед Конаев, 14г",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00 (служба доставки: пн-вс 11:00-23:00),+05:00,4.5,526,87780996688 (служба доставки),87750698889 (служба бронирования),,,,,http://aq-anyz.kz,,,https://instagram.com/aq_anyz,,,,https://wa.me/77780996688,,,,,,,51.128912,71.43833,https://2gis.com/firm/70000001033158649,branch
Hogo Astana,,Рестораны; Караоке-залы,"проспект Республики, 33а",2 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.2,74,87770881580,,,,,,,,,https://instagram.com/hogo_astana,,,,https://wa.me/77770881580,,,,,,,51.169535,71.424925,https://2gis.com/firm/70000001069272710,branch
Перчини,ресторан,Рестораны; Пиццерии; Доставка готовых блюд,"проспект Туран, 20",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.0,613,87752915581,,,perchini.astana@mail.ru,,,http://perchini.ru,,,https://instagram.com/perchini_ast,,,,https://wa.me/77752915581,,,,,,,51.141325,71.411271,https://2gis.com/firm/70000001028355740,branch
REVIVAL,,Рестораны; Караоке-залы; Бары,"улица Сыганак, 17Б",,,,Нура район,Астана,,Астана,Казахстан,Пн: 18:00-03:00; Вт: 18:00-03:00; Ср: 18:00-03:00; Чт: 18:00-03:00; Пт: 18:00-05:00; Сб: 18:00-05:00; Вс: 16:00-03:00 (караоке залы: ср-вс 18:00-3:00 ),+05:00,4.2,431,87786599409,,,,,,,,,https://instagram.com/revival_astana,,,,https://wa.me/77786599409,,,,,,,51.131599,71.390008,https://2gis.com/firm/70000001061532793,branch
Fest 425,лаундж-бар,Рестораны; Кафе; Бары; Пиццерии,"проспект Туран, 9",1 этаж,,Караоткель-2 м-н,Нура район,Астана,,Астана,Казахстан,Пн: 16:00-04:00; Вт: 16:00-04:00; Ср: 16:00-04:00; Чт: 16:00-04:00; Пт: 16:00-04:00; Сб: 16:00-04:00; Вс: 16:00-04:00,+05:00,4.3,485,87010425000,,,,,,http://70000001019518604.2gis.biz,http://fest425-turan.kamiqr.com/menu/delivery,,https://instagram.com/fest.425,,,,https://wa.me/77010425000,,,,,,,51.15112,71.411793,https://2gis.com/firm/70000001019518605,branch
Augustin,ресторан,Рестораны; Бары; Доставка готовых блюд,"улица Достык, 13",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-02:00; Вт: 11:00-02:00; Ср: 11:00-02:00; Чт: 11:00-02:00; Пт: 11:00-04:00; Сб: 11:00-04:00; Вс: 11:00-02:00,+05:00,4.3,93,87784502121,,,,,,,,,https://instagram.com/restoran_augustin,,https://facebook.com/restoran.augustin,,https://wa.me/77784502121,,,,,,,51.126521,71.437208,https://2gis.com/firm/70000001018063485,branch
XO,лаундж-бар,Рестораны; Бары; Караоке-залы,"Амангельды Иманова улица, 26",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 16:00-03:00; Вт: 16:00-03:00; Ср: 16:00-03:00; Чт: 16:00-03:00; Пт: 16:00-03:00; Сб: 16:00-03:00; Вс: 16:00-03:00,+05:00,4.4,96,87478363110,,,,,,http://xo-resto-bar.kamiqr.com/menu/basic/list,,,https://instagram.com/restobarxo_,,,,https://wa.me/77478363110,,,,,,,51.164115,71.444551,https://2gis.com/firm/70000001075501066,branch
